symbol,name,cap,close,score
PRIVISCL,PRIVI SPECIALITY CHEMICALS LIMITED,Microcap,3672.2,6
PRUDENT,Prudent Corporate Advisory Services Limited,Microcap,2994.2,6
PSPPROJECT,PSP Projects Limited,Microcap,1000.8,6
PTL,PTL Enterprises Ltd,Microcap,42.44,6
PWL,Physicswallah Limited,Midcap,124.13,6
PYRAMID,Pyramid Technoplast Limited,Microcap,172.06,6
RACLGEAR,RACL Geartech Limited,Microcap,1403.2,6
RADICO,Radico Khaitan Ltd.,Midcap,3945.5,6
RAJRILTD,Raj Rayon Industries Limited,Microcap,24.25,6
RAMCOIND,Ramco Industries Ltd,Microcap,338.85,6
RAMCOSYS,Ramco Systems Ltd,Microcap,836.05,6
RANEHOLDIN,Rane Holdings Ltd.,Microcap,1666.2,6
RATEGAIN,RateGain Travel Technologies Limited,Microcap,899.15,6
RBA,Restaurant Brands Asia Limited,Microcap,79.18,6
REFEX,Refex Industries Limited,Microcap,356.2,6
RELIGARE,Religare Enterprises Ltd,Microcap,270.26,6
RELTD,RAVINDRA ENERGY LIMITED,Microcap,165.28,6
REPCOHOME,Repco Home Finance Limited,Microcap,417.75,6
RML,Rane (Madras)  Ltd.,Microcap,1155.85,6
ROTO,Roto Pumps Ltd.,Microcap,72.11,6
RPEL,RAGHAV PRODUCTIVITY ENHANCERS LIMITED,Microcap,1204.0,6
RPGLIFE,RPG Life Sciences Limited,Microcap,2292.5,6
RPTECH,Rashi Peripherals Limited,Microcap,773.75,6
RUBICON,RUBICON RESEARCH LIMITED,Microcap,1402.9,6
SAILIFE,Sai Life Sciences Limited,Smallcap,1234.3,6
SAKAR,Sakar Healthcare Ltd.,Microcap,838.1,6
SAKSOFT,Saksoft Limited,Microcap,206.71,6
SAMMAANCAP,Sammaan Capital Limited,Smallcap,173.62,6
SANATHAN,Sanathan Textiles Limited,Microcap,446.3,6
SANDHAR,Sandhar Technologies Limited,Microcap,716.9,6
SANGAMIND,Sangam (India) Ltd,Microcap,544.25,6
SANGHVIMOV,Sanghvi Movers Ltd.,Microcap,438.4,6
SANSERA,Sansera Engineering Limited,Microcap,3196.2,6
SAREGAMA,Saregama India Ltd.,Microcap,492.8,6
SATIN,SATIN CREDITCARE NETWORK LIMITED,Microcap,245.9,6
