week_ending,sym,close,score,qual
2024-09-20,MEDPLUS,667.6,0,False
2024-09-27,MEDPLUS,669.1,0,False
2024-10-04,MEDPLUS,654.7,0,False
2024-10-11,MEDPLUS,666.9,2,False
2024-10-18,MEDPLUS,681.85,5,False
2024-10-25,MEDPLUS,657.85,0,False
2024-11-01,MEDPLUS,679.25,5,False
2024-11-08,MEDPLUS,680.0,5,False
2024-11-15,MEDPLUS,704.25,6,False
2024-11-22,MEDPLUS,741.8,6,True
2024-11-29,MEDPLUS,782.7,6,True
2024-12-06,MEDPLUS,850.8,6,True
2024-12-13,MEDPLUS,855.0,6,True
2024-12-20,MEDPLUS,848.05,4,True
2024-12-27,MEDPLUS,841.1,4,True
2025-01-03,MEDPLUS,832.0,4,True
2025-01-10,MEDPLUS,834.3,4,True
2025-01-17,MEDPLUS,785.0,2,True
2025-01-24,MEDPLUS,718.6,0,False
2025-01-31,MEDPLUS,723.35,0,False
2025-02-07,MEDPLUS,796.25,6,True
2025-02-14,MEDPLUS,724.7,0,False
2025-02-21,MEDPLUS,722.8,0,False
2025-02-28,MEDPLUS,714.6,0,False
2025-03-07,MEDPLUS,708.75,0,False
2025-03-14,MEDPLUS,709.1,1,False
2025-03-21,MEDPLUS,730.4,3,False
2025-03-28,MEDPLUS,760.0,6,True
2025-04-04,MEDPLUS,730.15,0,False
2025-04-11,MEDPLUS,789.2,6,True
2025-04-18,MEDPLUS,795.3,6,True
2025-04-25,MEDPLUS,793.1,4,True
2025-05-02,MEDPLUS,799.3,4,True
2025-05-09,MEDPLUS,795.25,3,True
2025-05-16,MEDPLUS,885.55,6,True
2025-05-23,MEDPLUS,952.45,6,True
2025-05-30,MEDPLUS,966.4,6,True
2025-06-06,MEDPLUS,915.15,4,True
2025-06-13,MEDPLUS,880.6,3,True
2025-06-20,MEDPLUS,870.9,3,True
2025-06-27,MEDPLUS,911.8,6,True
2025-07-04,MEDPLUS,869.3,2,True
2025-07-11,MEDPLUS,874.35,5,True
2025-07-18,MEDPLUS,900.4,5,True
2025-07-25,MEDPLUS,896.25,6,True
2025-08-01,MEDPLUS,915.25,5,True
2025-08-08,MEDPLUS,828.65,1,False
2025-08-15,MEDPLUS,813.8,0,False
2025-08-22,MEDPLUS,821.25,1,False
2025-08-29,MEDPLUS,841.95,3,False
2025-09-05,MEDPLUS,832.5,1,False
2025-09-12,MEDPLUS,838.75,3,False
2025-09-19,MEDPLUS,840.55,4,False
2025-09-26,MEDPLUS,786.9,0,False
2025-10-03,MEDPLUS,746.65,0,False
2025-10-10,MEDPLUS,784.2,2,False
2025-10-17,MEDPLUS,763.5,0,False
2025-10-24,MEDPLUS,759.0,0,False
2025-10-31,MEDPLUS,762.85,2,False
2025-11-07,MEDPLUS,787.35,2,False
2025-11-14,MEDPLUS,781.25,3,False
2025-11-21,MEDPLUS,767.4,0,False
2025-11-28,MEDPLUS,808.8,6,True
2025-12-05,MEDPLUS,810.45,6,True
2025-12-12,MEDPLUS,804.55,2,False
2025-12-19,MEDPLUS,820.55,6,True
2025-12-26,MEDPLUS,814.85,5,True
2026-01-02,MEDPLUS,808.25,3,True
2026-01-09,MEDPLUS,817.6,4,True
2026-01-16,MEDPLUS,833.4,5,True
2026-01-23,MEDPLUS,775.4,0,False
2026-01-30,MEDPLUS,798.95,2,False
2026-02-06,MEDPLUS,868.9,6,True
2026-02-13,MEDPLUS,858.75,5,True
2026-02-20,MEDPLUS,829.15,3,True
2026-02-27,MEDPLUS,847.6,6,True
2026-03-06,MEDPLUS,841.5,6,True
2026-03-13,MEDPLUS,849.65,6,True
2026-03-20,MEDPLUS,820.65,1,False
2026-03-27,MEDPLUS,827.75,4,True
2026-04-03,MEDPLUS,836.05,6,True
2026-04-10,MEDPLUS,866.85,6,True
2026-04-17,MEDPLUS,877.8,6,True
2026-04-24,MEDPLUS,903.65,6,True
2026-05-01,MEDPLUS,872.15,4,True
2026-05-08,MEDPLUS,874.7,4,True
2026-05-15,MEDPLUS,951.0,6,True
2026-05-22,MEDPLUS,898.75,3,True
2026-05-29,MEDPLUS,895.2,5,True
2026-06-05,MEDPLUS,858.7,1,False
2026-06-12,MEDPLUS,881.95,6,True
2026-06-19,MEDPLUS,844.45,1,False
2026-06-26,MEDPLUS,835.0,0,False
2026-07-03,MEDPLUS,822.0,1,False
2026-07-10,MEDPLUS,826.1,2,False
2026-07-17,MEDPLUS,801.1,0,False
2026-07-24,MEDPLUS,720.55,0,False
2026-07-31,MEDPLUS,704.95,0,False
2026-08-07,MEDPLUS,700.25,1,False
2026-08-14,MEDPLUS,668.95,0,False
2026-08-21,MEDPLUS,689.55,2,False
2025-12-12,MEESHO,165.11,0,False
2025-12-19,MEESHO,224.08,6,True
2025-12-26,MEESHO,197.84,5,True
2026-01-02,MEESHO,179.25,2,True
2026-01-09,MEESHO,170.36,0,False
2026-01-16,MEESHO,162.26,0,False
2026-01-23,MEESHO,170.31,2,False
2026-01-30,MEESHO,174.15,5,True
2026-02-06,MEESHO,154.26,0,False
2026-02-13,MEESHO,152.85,0,False
2026-02-20,MEESHO,158.18,2,False
2026-02-27,MEESHO,159.99,3,False
2026-03-06,MEESHO,159.26,3,False
2026-03-13,MEESHO,137.52,0,False
2026-03-20,MEESHO,144.6,1,False
2026-03-27,MEESHO,145.65,0,False
2026-04-03,MEESHO,146.61,2,False
2026-04-10,MEESHO,163.59,5,False
2026-04-17,MEESHO,163.67,5,False
2026-04-24,MEESHO,180.69,6,True
2026-05-01,MEESHO,193.13,6,True
2026-05-08,MEESHO,200.02,6,True
2026-05-15,MEESHO,190.65,4,True
2026-05-22,MEESHO,199.01,6,True
2026-05-29,MEESHO,183.3,3,True
2026-06-05,MEESHO,165.95,0,False
2026-06-12,MEESHO,166.92,0,False
2026-06-19,MEESHO,173.56,4,True
2026-06-26,MEESHO,186.45,6,True
2026-07-03,MEESHO,186.68,5,True
2026-07-10,MEESHO,194.11,6,True
2026-07-17,MEESHO,187.87,4,True
2026-07-24,MEESHO,185.24,3,True
2026-07-31,MEESHO,182.19,2,True
2026-08-07,MEESHO,191.35,6,True
2026-08-14,MEESHO,191.16,5,True
2026-08-21,MEESHO,205.69,6,True
2025-08-29,MEIL,527.4,0,False
2025-09-05,MEIL,549.45,6,True
2025-09-12,MEIL,522.0,0,False
2025-09-19,MEIL,489.85,0,False
2025-09-26,MEIL,467.5,0,False
2025-10-03,MEIL,475.3,0,False
2025-10-10,MEIL,455.6,1,False
2025-10-17,MEIL,475.6,3,False
2025-10-24,MEIL,477.8,3,False
2025-10-31,MEIL,459.5,0,False
2025-11-07,MEIL,476.0,3,False
2025-11-14,MEIL,445.4,0,False
2025-11-21,MEIL,427.4,0,False
2025-11-28,MEIL,399.6,0,False
2025-12-05,MEIL,370.55,0,False
2025-12-12,MEIL,370.2,1,False
2025-12-19,MEIL,363.05,0,False
2025-12-26,MEIL,377.65,2,False
2026-01-02,MEIL,375.75,2,False
2026-01-09,MEIL,350.0,0,False
2026-01-16,MEIL,337.1,0,False
2026-01-23,MEIL,295.05,0,False
2026-01-30,MEIL,258.5,0,False
2026-02-06,MEIL,266.2,0,False
2026-02-13,MEIL,266.4,0,False
2026-02-20,MEIL,252.55,0,False
2026-02-27,MEIL,235.1,0,False
2026-03-06,MEIL,229.34,0,False
2026-03-13,MEIL,228.58,0,False
2026-03-20,MEIL,231.46,0,False
2026-03-27,MEIL,220.86,0,False
2026-04-03,MEIL,238.6,3,False
2026-04-10,MEIL,256.04,3,False
2026-04-17,MEIL,302.85,4,False
2026-04-24,MEIL,294.24,3,False
2026-05-01,MEIL,299.38,3,False
2026-05-08,MEIL,341.6,5,False
2026-05-15,MEIL,303.35,1,False
2026-05-22,MEIL,315.85,3,False
2026-05-29,MEIL,320.8,3,False
2026-06-05,MEIL,319.35,3,False
2026-06-12,MEIL,312.2,3,False
2026-06-19,MEIL,315.7,5,False
2026-06-26,MEIL,306.3,0,False
2026-07-03,MEIL,306.8,3,False
2026-07-10,MEIL,301.1,0,False
2026-07-17,MEIL,297.65,0,False
2026-07-24,MEIL,284.65,0,False
2026-07-31,MEIL,284.05,0,False
2026-08-07,MEIL,276.4,0,False
2026-08-14,MEIL,272.5,0,False
2026-08-21,MEIL,259.55,0,False
2024-07-05,MENONBE,137.43,6,True
2024-07-12,MENONBE,135.83,4,True
2024-07-19,MENONBE,128.62,0,False
2024-07-26,MENONBE,129.43,1,False
2024-08-02,MENONBE,133.28,4,True
2024-08-09,MENONBE,128.51,0,False
2024-08-16,MENONBE,126.39,0,False
2024-08-23,MENONBE,129.77,3,False
2024-08-30,MENONBE,128.21,1,False
